iter	TotalF1:average=Macro	MultiClass
635	0.9976542476	0.1319373033
636	0.9976542476	0.1318400778
637	0.9976542476	0.1315759176
638	0.9976542476	0.1313461622
639	0.9976542476	0.1310789856
640	0.9976542476	0.1307859019
641	0.9976542476	0.1305473775
642	0.9976542476	0.1303660155
643	0.9976542476	0.1301383567
644	0.9976542476	0.1299956779
645	0.9976542476	0.1296822076
646	0.9976542476	0.1295239018
647	0.9976542476	0.1293460115
648	0.9976542476	0.1290798835
649	0.9976542476	0.1287728635
650	0.9976542476	0.1284909148
651	0.9976542476	0.1282242539
652	0.9976542476	0.1280524504
653	0.9976542476	0.1278691795
654	0.9976542476	0.1277338593
655	0.9976542476	0.1275467265
656	0.9976542476	0.1273823727
657	0.9976542476	0.1270416153
658	0.9976542476	0.1268369293
659	0.9976542476	0.126569021
660	0.9976542476	0.1263844859
661	0.9976542476	0.1262128515
662	0.9976542476	0.1258476839
663	0.9976542476	0.1256392384
664	0.9976542476	0.1252532262
665	0.9983462341	0.1250376951
666	0.9983462341	0.1248577935
667	0.9983462341	0.1244573494
668	0.9983462341	0.124204334
669	0.9983462341	0.1239878148
670	0.9983462341	0.1238648654
671	0.9983462341	0.1236607599
672	0.9983462341	0.1233515145
673	0.9983462341	0.1231872068
674	0.9983462341	0.1229072254
675	0.9983462341	0.1227131844
676	0.9983462341	0.1224499361
677	0.9983462341	0.1222658957
678	0.9983462341	0.1221069021
679	0.9983462341	0.1219781974
680	0.9983462341	0.1217522343
681	0.9983462341	0.1214134389
682	0.9983462341	0.1211420897
683	0.9983462341	0.1209483893
684	0.9983462341	0.1206964333
685	0.9983462341	0.1204105342
686	0.9983462341	0.1201679782
687	0.9983462341	0.1198484187
688	0.9983462341	0.1196683419
689	0.9983462341	0.1194814317
690	0.9983462341	0.1192013937
691	0.9983462341	0.1190909316
692	0.9983462341	0.1190074102
693	0.9983462341	0.1187209693
694	0.9983462341	0.1185815299
695	0.9983462341	0.1184318858
696	0.9983462341	0.1181810733
697	0.9983462341	0.1179600774
698	0.9983462341	0.1178435635
699	0.9983462341	0.1176872457
700	0.9983462341	0.1173613661
701	0.9983462341	0.117212733
702	0.9983462341	0.1169478767
703	0.9983462341	0.116760388
704	0.9983462341	0.1166055836
705	0.9983462341	0.1164877639
706	0.9983462341	0.1163564453
707	0.9983462341	0.1161794602
708	0.9983462341	0.1159448999
709	0.9983462341	0.1157462561
710	0.9983462341	0.1154315026
711	0.9983462341	0.1152896496
712	0.9983462341	0.115129632
713	0.9983462341	0.114997639
714	0.9983462341	0.1147871497
715	0.9983462341	0.1146458577
716	0.9983462341	0.1143409082
717	0.9983462341	0.1141646202
718	0.9983462341	0.1139292313
719	0.9983462341	0.1137380132
720	0.9983462341	0.1136867433
721	0.9983462341	0.113473644
722	0.9983462341	0.1132442237
723	0.9983462341	0.1130700841
724	0.9983462341	0.1128967764
725	0.9983462341	0.1128170061
726	0.9983462341	0.112392694
727	0.9983462341	0.1121797416
728	0.9983462341	0.1120368937
729	0.9983462341	0.1119156162
730	0.9983462341	0.1115170559
731	0.9983462341	0.11135714
732	0.9983462341	0.1111728195
733	0.9983462341	0.1110338807
734	0.9983462341	0.1108930099
735	0.9983462341	0.1107187606
736	0.9983462341	0.1105078186
737	0.9983462341	0.1103379777
738	0.9983462341	0.1101718851
739	0.9983462341	0.1100363128
740	0.9983462341	0.10987807
741	0.9983462341	0.1097170581
742	0.9983462341	0.109522897
743	0.9983462341	0.1094059998
744	0.9983462341	0.1092726153
745	0.9983462341	0.1091090616
746	0.9983462341	0.1090196731
747	0.9983462341	0.1087879307
748	0.9993074165	0.1085864853
749	0.9993074165	0.1085099712
750	0.9993074165	0.1083676799
751	0.9993074165	0.1082602971
752	0.9993074165	0.1081566284
753	0.9993074165	0.1079308723
754	0.9993074165	0.1078015104
755	0.9993074165	0.1075947662
756	0.9993074165	0.1073955776
757	0.9993074165	0.1070909896
758	0.9993074165	0.1069285339
759	0.9993074165	0.1067956953
760	0.9993074165	0.1066659802
761	0.9993074165	0.1064159807
762	0.9993074165	0.1062482553
763	0.9993074165	0.1061522619
764	0.9993074165	0.106062885
765	0.9993074165	0.1058100293
766	0.9993074165	0.1055328532
767	0.9993074165	0.1054251427
768	0.9993074165	0.1053437852
769	0.9993074165	0.1051559746
770	0.9993074165	0.1050322245
771	0.9993074165	0.1048595469
772	0.9993074165	0.1046965658
773	0.9993074165	0.104473385
774	0.9993074165	0.1042512115
775	0.9993074165	0.1040414916
776	0.9993074165	0.1038913632
777	0.9993074165	0.1035894079
778	0.9993074165	0.1032696672
779	0.9993074165	0.1031033729
780	0.9993074165	0.102924714
781	0.9993074165	0.1026893425
782	0.9993074165	0.1024013511
783	0.9993074165	0.1021770347
784	0.9993074165	0.1020032042
785	0.9993074165	0.1017008487
786	0.9993074165	0.1015107593
787	0.9993074165	0.1013299681
788	0.9993074165	0.1012136173
789	0.9993074165	0.10102733
790	0.9993074165	0.1008243167
791	0.9993074165	0.1006227749
792	0.9993074165	0.1004921143
793	0.9993074165	0.1003231486
794	0.9993074165	0.1001385056
795	0.9993074165	0.100027853
796	0.9993074165	0.09986003449
797	0.9993074165	0.09968976186
798	0.9993074165	0.09947270154
799	0.9993074165	0.09934088094
800	0.9993074165	0.09911377191
801	0.9993074165	0.0988889545
802	0.9993074165	0.09877641491
803	0.9993074165	0.09858059461
804	0.9993074165	0.09833072685
805	0.9993074165	0.09824004781
806	0.9993074165	0.09815152949
807	0.9993074165	0.09802509626
808	0.9993074165	0.09793607671
809	0.9993074165	0.09776058624
810	0.9993074165	0.09762249515
811	0.9993074165	0.09739546834
812	0.9993074165	0.09717913914
813	0.9993074165	0.09697940129
814	0.9993074165	0.09675354709
815	0.9993074165	0.09665626585
816	0.9993074165	0.0964749771
817	0.9993074165	0.09633948192
818	0.9993074165	0.0961268104
819	0.9993074165	0.0960307934
820	0.9993074165	0.09591783356
821	0.9993074165	0.09578701545
822	0.9993074165	0.09565344364
823	0.9993074165	0.09554983373
824	0.9993074165	0.09539994573
825	0.9993074165	0.09516808869
826	0.9993074165	0.09511807998
827	0.9993074165	0.09498038114
828	0.9993074165	0.09480016396
829	0.9993074165	0.09467054494
830	0.9993074165	0.09456144585
831	0.9993074165	0.09444445649
832	0.9993074165	0.09421636278
833	0.9993074165	0.09407809955
834	0.9993074165	0.09397910941
835	0.9993074165	0.09386532977
836	0.9993074165	0.09371227897
837	0.9993074165	0.09361475236
838	0.9993074165	0.09345807919
839	0.9993074165	0.09331760588
840	0.9993074165	0.0931807226
841	0.9993074165	0.09301732189
842	0.9993074165	0.09286773098
843	0.9993074165	0.0927229401
844	0.9993074165	0.09261016668
845	0.9993074165	0.09246625279
846	0.9993074165	0.0923051396
847	0.9993074165	0.09213015966
848	0.9993074165	0.09202063591
849	0.9993074165	0.09187369227
850	0.9993074165	0.09175982214
851	0.9993074165	0.09158998865
852	0.9993074165	0.09137832389
853	0.9993074165	0.09125054736
854	0.9993074165	0.0911385807
855	0.9993074165	0.09098162849
856	0.9993074165	0.09086214983
857	0.9993074165	0.09073425797
858	0.9993074165	0.09061739228
859	0.9993074165	0.09051801429
860	0.9993074165	0.0902868101
861	0.9993074165	0.090108164
862	0.9993074165	0.08982368981
863	0.9993074165	0.08964700078
864	0.9993074165	0.08947656475
865	0.9993074165	0.08931942793
866	0.9993074165	0.08918138986
867	0.9993074165	0.08902415869
868	0.9993074165	0.08883099512
869	0.9993074165	0.08870056916
870	0.9993074165	0.08855562779
871	0.9993074165	0.08839953277
872	0.9993074165	0.08815422827
873	0.9993074165	0.08802809123
874	0.9993074165	0.08786785615
875	0.9993074165	0.08775325988
876	0.9993074165	0.08763473249
877	0.9993074165	0.08750651172
